iter	F1	Logloss
0	0.5551992671	0.6886530454
1	0.5399903054	0.6849201075
2	0.5264720435	0.6803817987
3	0.5097837281	0.6758919194
4	0.5458070771	0.6714848008
5	0.5235235235	0.6673720458
6	0.5352532274	0.6634371273
7	0.5134449518	0.6591837822
8	0.5197168857	0.6551845891
9	0.5172413793	0.6513643234
10	0.5105506948	0.6472936752
11	0.515601023	0.6433108823
12	0.5141097999	0.6395665301
13	0.5153374233	0.6359129962
14	0.523929471	0.6320444789
15	0.5230146687	0.6288345507
16	0.5348022033	0.6256711506
17	0.5348022033	0.6223739859
18	0.5357321339	0.6186763126
19	0.5326633166	0.6152202743
20	0.5378067101	0.6121083203
21	0.5381927109	0.608727639
22	0.5376558603	0.6057527878
23	0.5359281437	0.6032181897
24	0.5352676338	0.6004866248
25	0.5387673956	0.5976525142
26	0.5436507937	0.5949795333
27	0.5408618128	0.5919943343
28	0.5402469136	0.589223551
29	0.5376984127	0.5866327992
30	0.5386904762	0.5840720608
31	0.5382323734	0.5814270868
32	0.5371942087	0.5788403141
33	0.5354645355	0.5764123072
34	0.5361235675	0.5737840836
35	0.5359281437	0.5714909629
36	0.539225422	0.5692011624
37	0.5421209118	0.5669542933
38	0.5450941526	0.564306546
39	0.5459032577	0.5619517607
40	0.5459032577	0.5598117228
41	0.5492125984	0.5578984822
42	0.5482283465	0.5558387255
43	0.5488463427	0.5537077738
44	0.5485770363	0.5515892719
45	0.5488463427	0.5496472531
46	0.5500982318	0.547648288
47	0.5482283465	0.5458033256
48	0.5495806611	0.5439064259
49	0.5503952569	0.5421240828
50	0.5519287834	0.5403547208
51	0.549950544	0.538403375
52	0.5509396637	0.5365726043
53	0.5467196819	0.534741659
54	0.5438247012	0.5328989582
55	0.5477137177	0.5311656545
56	0.5440956652	0.5295868824
57	0.5508684864	0.5281067427
58	0.5519287834	0.526311357
59	0.5505952381	0.5246988153
60	0.5503489531	0.5229584925
61	0.5517928287	0.5213271159
62	0.5500747384	0.5197583381
63	0.5545634921	0.5181860786
64	0.5574257426	0.5166472536
65	0.557635468	0.5151688856
66	0.5612144956	0.5136449001
67	0.5590551181	0.5123056917
68	0.5621621622	0.5107899723
69	0.5654296875	0.5092899321
70	0.5658536585	0.5080316162
71	0.5658536585	0.506764261
