iter	Passed	Remaining
0	4	35792
1	8	35195
2	13	35098
3	17	35954
4	23	38036
5	28	38387
6	34	39170
7	40	40224
8	48	43048
9	56	44874
10	64	46611
11	78	52529
12	87	53745
13	94	53689
14	100	53722
15	107	53572
16	113	53197
17	119	52815
18	124	52253
19	129	51786
20	134	51066
21	138	50381
22	143	49730
23	147	49108
24	152	48608
25	156	48111
26	161	47635
27	167	47567
28	171	47180
29	175	46502
30	179	46055
31	183	45762
32	188	45422
33	192	45064
34	198	45070
35	202	44773
36	207	44739
37	212	44527
38	217	44326
39	221	44077
40	225	43842
41	229	43422
42	233	43223
43	237	43013
44	242	42806
45	246	42611
46	251	42597
47	257	42713
48	262	42542
49	266	42400
50	271	42243
51	275	42090
52	279	41949
53	284	41836
54	288	41685
55	292	41555
56	299	41675
57	303	41547
58	307	41438
59	316	41821
60	321	41874
61	326	41798
62	332	41911
63	338	41920
64	343	41915
65	348	41835
66	352	41723
67	356	41619
68	361	41509
69	365	41421
70	371	41473
71	375	41377
72	380	41303
73	384	41192
74	388	41095
75	393	41007
76	398	41041
77	403	40948
78	407	40860
79	411	40785
80	416	40702
81	420	40613
82	424	40530
83	430	40552
84	435	40571
85	441	40630
86	446	40576
87	450	40497
88	456	40589
89	461	40526
90	465	40451
91	469	40379
92	474	40310
93	478	40253
94	483	40195
95	487	40122
96	491	40062
97	496	40012
98	500	39953
99	505	39899
100	509	39841
101	513	39785
102	518	39733
103	522	39675
104	525	39507
105	529	39444
106	533	39388
107	538	39342
108	542	39301
109	547	39254
110	551	39212
111	560	39461
112	564	39424
113	571	39524
114	577	39606
115	582	39566
116	587	39600
117	592	39593
118	597	39551
119	601	39517
120	606	39474
121	610	39442
122	615	39418
123	619	39376
124	624	39328
125	628	39279
126	632	39228
127	637	39181
128	642	39229
129	648	39232
130	654	39301
131	658	39264
132	662	39216
133	667	39176
134	671	39128
135	676	39094
136	680	39058
137	684	39015
138	689	38984
139	693	38943
140	697	38856
141	701	38807
142	705	38787
143	710	38746
144	715	38764
145	719	38726
146	725	38747
147	730	38747
148	734	38709
149	739	38684
150	745	38744
151	749	38709
152	754	38675
153	758	38644
154	762	38607
155	767	38575
156	771	38544
157	775	38509
158	780	38478
159	786	38529
160	792	38572
161	796	38543
162	800	38505
163	805	38486
164	809	38449
165	814	38431
166	818	38409
167	823	38381
168	828	38385
169	835	38481
170	843	38611
171	847	38577
172	852	38556
173	856	38529
174	860	38494
175	866	38536
176	871	38511
177	875	38481
178	880	38451
179	884	38424
180	888	38394
181	893	38369
182	897	38339
183	903	38374
184	909	38425
185	914	38417
186	919	38398
187	923	38378
188	927	38350
189	932	38319
190	936	38295
191	941	38270
192	945	38244
193	951	38277
194	956	38282
195	961	38283
196	965	38260
197	970	38237
198	974	38205
199	978	38171
200	983	38150
201	989	38183
202	993	38157
203	997	38127
204	1005	38221
205	1010	38245
206	1016	38253
207	1020	38235
208	1025	38215
209	1029	38190
210	1034	38200
211	1040	38228
212	1046	38252
213	1052	38310
214	1059	38351
215	1065	38406
216	1074	38544
217	1086	38769
218	1091	38793
219	1097	38825
220	1102	38803
221	1106	38780
222	1111	38757
223	1116	38748
224	1120	38721
225	1126	38741
226	1130	38711
227	1134	38689
228	1140	38708
229	1146	38738
230	1151	38711
231	1155	38686
232	1159	38666
233	1164	38647
234	1168	38619
235	1173	38590
236	1177	38567
237	1182	38550
238	1186	38523
239	1190	38502
240	1195	38482
241	1199	38458
242	1203	38430
243	1208	38407
244	1212	38384
245	1217	38362
246	1221	38339
247	1225	38315
248	1232	38351
249	1236	38325
250	1240	38301
251	1245	38282
252	1249	38260
253	1253	38238
254	1259	38249
255	1264	38262
256	1269	38258
257	1274	38232
258	1279	38253
259	1284	38236
260	1288	38214
261	1293	38198
262	1299	38229
263	1303	38209
264	1308	38185
265	1312	38168
266	1317	38147
267	1321	38123
268	1325	38104
269	1330	38088
270	1334	38073
271	1339	38054
272	1343	38038
273	1348	38026
274	1355	38074
275	1360	38076
276	1365	38071
277	1369	38047
278	1373	38023
279	1378	38016
280	1384	38036
281	1389	38016
282	1393	38004
283	1398	37982
284	1402	37961
285	1406	37942
286	1413	37973
287	1417	37950
288	1422	37963
289	1425	37902
290	1429	37875
291	1434	37854
292	1438	37834
293	1443	37829
294	1447	37812
295	1452	37801
296	1456	37779
297	1460	37759
298	1465	37736
299	1469	37713
300	1473	37696
301	1478	37678
302	1482	37661
303	1487	37645
304	1491	37628
305	1497	37645
306	1501	37626
307	1505	37607
308	1510	37588
309	1514	37566
310	1518	37552
311	1524	37571
312	1529	37552
313	1533	37536
314	1538	37524
315	1542	37507
316	1546	37488
317	1552	37514
318	1557	37500
319	1562	37505
320	1569	37553
321	1575	37557
322	1580	37560
323	1584	37542
324	1589	37530
325	1594	37528
326	1601	37572
327	1607	37608
328	1612	37590
329	1616	37577
330	1621	37573
331	1626	37565
332	1631	37564
333	1636	37566
334	1643	37597
335	1647	37580
336	1651	37563
337	1656	37547
338	1660	37530
339	1664	37510
340	1669	37494
341	1673	37477
342	1677	37458
343	1682	37439
344	1686	37426
345	1691	37410
346	1695	37393
347	1699	37376
348	1704	37368
349	1708	37349
350	1713	37331
351	1717	37314
352	1722	37307
353	1726	37292
354	1731	37279
355	1735	37267
356	1739	37251
357	1744	37236
358	1749	37242
359	1754	37230
360	1758	37212
361	1762	37195
362	1767	37178
363	1771	37162
364	1775	37145
365	1779	37126
366	1784	37113
367	1788	37096
368	1793	37080
369	1797	37062
370	1801	37053
371	1806	37040
372	1811	37033
373	1815	37018
374	1821	37032
375	1825	37015
376	1829	37000
377	1834	36988
378	1838	36972
379	1842	36956
380	1847	36940
381	1851	36929
382	1856	36912
383	1860	36897
384	1864	36883
385	1870	36890
386	1875	36896
387	1881	36908
388	1889	36976
389	1894	36968
390	1902	37014
391	1908	37043
392	1913	37033
393	1918	37028
394	1922	37015
395	1926	37000
396	1931	36998
397	1936	36986
398	1940	36974
399	1945	36963
400	1950	36956
401	1954	36941
402	1958	36928
403	1963	36914
404	1967	36903
405	1972	36890
406	1976	36877
407	1981	36868
408	1985	36857
409	1990	36843
410	1994	36831
411	2000	36836
412	2004	36823
413	2008	36809
414	2013	36801
415	2019	36813
416	2025	36835
417	2032	36867
418	2039	36893
419	2045	36920
420	2052	36943
421	2058	36964
422	2065	36997
423	2071	37019
424	2077	37031
425	2082	37020
426	2086	37008
427	2091	36996
428	2095	36986
429	2100	36976
430	2104	36962
431	2110	36977
432	2116	36981
433	2122	36999
434	2127	36994
435	2137	37083
436	2142	37084
437	2149	37112
438	2154	37102
439	2159	37097
440	2164	37093
441	2168	37081
442	2172	37067
443	2177	37059
444	2182	37047
445	2186	37035
446	2192	37040
447	2197	37040
448	2202	37043
449	2208	37045
450	2213	37048
451	2217	37033
452	2221	37017
453	2226	37006
454	2230	36991
455	2235	36980
456	2241	37000
457	2247	37011
458	2251	36996
459	2256	36980
460	2260	36968
461	2264	36953
462	2269	36938
463	2273	36926
464	2278	36914
465	2283	36925
466	2288	36910
467	2292	36900
468	2296	36883
469	2301	36871
470	2305	36857
471	2310	36845
472	2314	36830
473	2318	36815
474	2323	36802
475	2327	36791
476	2331	36776
477	2336	36761
478	2340	36749
479	2344	36735
480	2349	36721
481	2353	36708
482	2359	36720
483	2363	36707
484	2368	36694
485	2372	36680
486	2376	36667
487	2381	36654
488	2385	36640
489	2391	36650
490	2396	36649
491	2401	36639
492	2405	36630
493	2412	36652
494	2416	36641
495	2421	36628
496	2426	36626
497	2430	36617
498	2435	36605
499	2439	36596
500	2445	36600
501	2449	36586
502	2453	36575
503	2458	36561
504	2462	36546
505	2466	36532
506	2471	36522
507	2475	36509
508	2479	36496
509	2484	36483
510	2488	36472
511	2492	36457
512	2498	36458
513	2503	36457
514	2506	36423
515	2510	36413
516	2514	36400
517	2519	36390
518	2523	36378
519	2528	36365
520	2532	36351
521	2536	36340
522	2541	36327
523	2545	36313
524	2549	36299
525	2553	36290
526	2558	36276
527	2562	36263
528	2566	36250
529	2571	36240
530	2575	36226
531	2579	36213
532	2584	36206
533	2588	36195
534	2593	36182
535	2597	36170
536	2601	36161
537	2606	36151
538	2610	36138
539	2615	36126
540	2619	36116
541	2623	36104
542	2628	36092
543	2633	36092
544	2640	36114
545	2644	36107
546	2649	36100
547	2655	36115
548	2660	36108
549	2665	36099
550	2670	36101
551	2675	36095
552	2679	36088
553	2687	36119
554	2693	36131
555	2697	36121
556	2702	36114
557	2707	36106
558	2710	36075
559	2714	36064
560	2718	36054
561	2723	36044
562	2729	36052
563	2734	36046
564	2738	36035
565	2742	36025
566	2747	36013
567	2751	36004
568	2756	35993
569	2760	35982
570	2764	35972
571	2769	35963
572	2773	35952
573	2778	35942
574	2783	35937
575	2787	35928
576	2792	35924
577	2799	35943
578	2804	35947
579	2810	35952
580	2815	35956
581	2820	35954
582	2825	35943
583	2829	35934
584	2834	35925
585	2838	35914
586	2843	35903
587	2847	35894
588	2852	35884
589	2856	35875
590	2860	35865
591	2865	35858
592	2871	35862
593	2875	35852
594	2880	35843
595	2884	35832
596	2888	35823
597	2900	35904
598	2905	35897
599	2910	35901
600	2918	35927
601	2922	35915
602	2926	35904
603	2933	35919
604	2937	35906
605	2941	35894
606	2946	35889
607	2950	35877
608	2955	35866
609	2959	35856
610	2964	35845
611	2968	35834
612	2972	35822
613	2978	35834
614	2983	35822
615	2989	35834
616	2993	35825
617	2999	35833
618	3006	35844
619	3011	35843
620	3016	35842
621	3021	35839
622	3027	35853
623	3033	35862
624	3040	35872
625	3046	35887
626	3052	35899
627	3058	35907
628	3063	35905
629	3069	35909
630	3074	35900
631	3078	35889
632	3084	35894
633	3088	35883
634	3093	35874
635	3097	35864
636	3101	35854
637	3106	35843
638	3110	35835
639	3115	35824
640	3120	35828
641	3126	35833
642	3131	35827
643	3135	35815
644	3139	35802
645	3144	35792
646	3151	35812
647	3158	35831
648	3164	35846
649	3169	35837
650	3174	35831
651	3181	35853
652	3185	35843
653	3190	35834
654	3198	35869
655	3203	35859
656	3207	35850
657	3211	35837
658	3217	35841
659	3221	35830
660	3226	35820
661	3230	35810
662	3234	35798
663	3241	35809
664	3245	35798
665	3249	35787
666	3253	35766
667	3257	35757
668	3261	35744
669	3266	35733
670	3270	35723
671	3275	35715
672	3279	35704
673	3283	35692
674	3288	35681
675	3292	35670
676	3296	35658
677	3300	35647
678	3305	35637
679	3309	35625
680	3313	35616
681	3318	35606
682	3322	35598
683	3327	35586
684	3331	35575
685	3335	35564
686	3340	35554
687	3344	35543
688	3348	35533
689	3353	35523
690	3357	35513
691	3361	35502
692	3366	35492
693	3370	35483
694	3375	35475
695	3379	35465
696	3383	35454
697	3388	35446
698	3392	35437
699	3397	35427
700	3401	35418
701	3406	35409
702	3410	35402
703	3415	35392
704	3419	35382
705	3424	35374
706	3429	35381
707	3437	35404
708	3443	35408
709	3447	35401
710	3453	35400
711	3457	35392
712	3462	35386
713	3466	35378
714	3471	35370
715	3475	35361
716	3480	35351
717	3484	35344
