,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,total_charges_per_month,tenure_totalcharges,blend10,blend3,pred10,pred3,profit10,profit3,training_data,profit_without_model
0,5442-pptjy,male,0,yes,yes,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.7,258.35,0,13.114213197969544,66744.72250000002,0.02026593251210235,0.02623926134675878,0,0,5000,5000,Yes,5000
1,6261-rcvns,female,0,no,no,42,yes,no,dsl,yes,yes,yes,yes,no,yes,one_year,no,credit_card_(automatic),73.9,3160.55,1,42.767929634641405,9989076.3025,0.04613011524980151,0.04881973427019905,0,0,-5000,-5000,Yes,-5000
2,2176-osjuv,male,0,yes,no,71,yes,yes,dsl,yes,yes,no,yes,no,no,two_year,no,bank_transfer_(automatic),65.15,4681.75,0,71.86108979278588,21918783.0625,0.0041268209466071605,0.004945707513621207,0,0,5000,5000,Yes,5000
3,6161-erdgd,male,0,yes,yes,71,yes,yes,dsl,yes,no,yes,yes,yes,yes,one_year,no,electronic_check,85.45,6300.85,0,73.73727325921591,39700710.722500004,0.018488205908427372,0.021115167131275172,0,0,5000,5000,Yes,5000
4,2364-ufrom,male,0,no,no,30,yes,no,dsl,yes,yes,no,yes,yes,no,one_year,no,electronic_check,70.4,2044.75,0,29.044744318181817,4181002.5625,0.03533282037483978,0.040265148638552545,0,0,5000,5000,Yes,5000
5,4765-oxppd,female,0,yes,yes,9,yes,no,dsl,yes,yes,yes,yes,no,no,month-to-month,no,mailed_check,65.0,663.05,1,10.20076923076923,439635.30249999993,0.0687308475663533,0.07673487808434473,0,0,-5000,-5000,Yes,-5000
6,0742-lafqk,male,0,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,no,yes,two_year,yes,electronic_check,99.15,7422.1,0,74.85728693898135,55087568.410000004,0.04259226136686018,0.05524632326436953,0,0,5000,5000,Yes,5000
7,5213-twwju,male,0,no,no,28,yes,no,fiber_optic,no,no,yes,yes,no,yes,month-to-month,no,electronic_check,91.0,2626.15,0,28.85879120879121,6896663.822500001,0.6133634615926313,0.5455308672449645,1,1,-1000,-1000,Yes,5000
8,9957-yodkz,male,1,yes,no,6,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,electronic_check,80.8,457.1,0,5.657178217821783,208940.41000000003,0.885500702750195,0.8619336671973552,1,1,-1000,-1000,Yes,5000
9,1732-vhubq,female,1,yes,yes,47,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),70.55,3309.25,1,46.90644932671864,10951135.5625,0.6323511535515588,0.5487736844905782,1,1,4000,4000,Yes,-5000
10,7771-zonat,male,0,no,no,22,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),56.75,1304.85,0,22.992951541850218,1702633.5224999997,0.04765965558030134,0.06156871671857589,0,0,5000,5000,Yes,5000
11,7017-vfuly,female,0,yes,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,bank_transfer_(automatic),20.1,43.15,0,2.146766169154229,1861.9225,0.10179490468370905,0.12235838795238944,0,0,5000,5000,Yes,5000
12,1230-qajdw,male,0,no,no,3,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,yes,mailed_check,65.25,209.9,0,3.2168582375478927,44058.01,0.6813067030303251,0.6250786906232592,1,1,-1000,-1000,Yes,5000
13,1374-dmzui,female,1,no,no,4,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,94.3,424.45,1,4.501060445387062,180157.8025,0.9272186227425046,0.9126325951179928,1,1,4000,4000,Yes,-5000
14,0330-bgyze,male,0,yes,no,60,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,no,bank_transfer_(automatic),102.5,6157.6,0,60.07414634146342,37916037.760000005,0.11710816371731642,0.1320031091791771,0,0,5000,5000,Yes,5000
15,1814-wfgvs,male,0,yes,yes,72,no,no_phone_service,dsl,yes,no,yes,yes,yes,no,two_year,no,mailed_check,48.9,3527.0,0,72.12678936605317,12439729.0,0.003227313389827231,0.00371022903162404,0,0,5000,5000,Yes,5000
16,3996-znwyk,male,1,yes,yes,71,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.8,1388.45,0,70.12373737373737,1927793.4025,0.002017687677197658,0.0022621594242371494,0,0,5000,5000,Yes,5000
17,0902-xkxpn,male,0,yes,yes,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),20.2,1376.5,0,68.14356435643565,1894752.25,0.001992039789077792,0.0022294470536216348,0,0,5000,5000,Yes,5000
18,0980-fexwf,male,0,yes,yes,26,yes,no,dsl,no,no,yes,no,no,no,one_year,no,mailed_check,50.35,1285.8,0,25.53723932472691,1653281.64,0.04001764626203863,0.045545682338745744,0,0,5000,5000,Yes,5000
19,9369-xfehk,female,1,yes,no,33,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),80.6,2656.5,1,32.9590570719603,7056992.25,0.7429553734567529,0.6874554463346662,1,1,4000,4000,Yes,-5000
